title;bibtex;url;year;num_citations;num_versions;url_pdf;url_citations;url_versions;excerpt;type
Asymmetric Self‐ and Cross‐Aldol Reactions of Glycolaldehyde Catalyzed by D‐Fructose‐6‐phosphate Aldolase;Garrabou2009;https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.200902065;2009;116;6;None;http://scholar.google.com/scholar?cites=3897966135713813654&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=3897966135713813654&hl=en&as_sdt=0,5;… CM0701). XG acknowledges the I3P‐CSIC predoctoral scholarship program. JACacknowledges the French foundation Vaincre Les Maladies Lysosomales for apostdoctoral fellowship. We thank Prof. Wolf‐Dieter Fessner, Prof … ;bourse
Disappearance of lysosomal storage in spleen and liver of mucopolysaccharidosis VII mice after transplantation of genetically modified bone marrow cells;Marechal1993;https://ashpublications.org/blood/article-abstract/82/4/1358/48636;1993;81;8;None;http://scholar.google.com/scholar?cites=12887823950881231789&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=12887823950881231789&hl=en&as_sdt=0,5;"… From the Laboratoire Rkrovirus et Transfert GPnktique, Institut Submitted January 26, 1993;accepted April 14, 1993. Supported by grants from Institut Pasteur, Vaincre les maladiesLysosomales, and the MinistPre de la Recherche et de I'Espace … ";bourse
Deletion of arginine (608) in acid sphingomyelinase is the prevalent mutation among Niemann-Pick disease type B patients from northern Africa;Vanier1993;https://link.springer.com/article/10.1007/BF01247328;1993;59;8;None;http://scholar.google.com/scholar?cites=1074850247637141064&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=1074850247637141064&hl=en&as_sdt=0,5;"… This work was sup- ported by grants from ""Vaincre les Maladies Lysosomales"", from the DeutscheForschungsgemeinschaft (DFG 257/12-2), from INSERM (U189), and from the US PHS(P30-HD03110, RO1- NS24289, and RO1-NS28997), and an Alexander von Humboldt … ";bourse
Le jeu de mots dans les discours sur le deuil: un jeu discursif offensif;Ruchon2018;https://www.degruyter.com/downloadpdf/books/9783110586459/9783110586459-007/9783110586459-007.xml;2018;0;4;None;None;http://scholar.google.com/scholar?cluster=9308364819661389659&hl=en&as_sdt=0,5;… deuil périnatal Alter Native, les noms d'associations étern'ailes et LocoMotive, et bien d'autresexemples comme le commentaire internet cité plus haut (l'im-pansable) ou le nom de lamanifestation Hasard'don organisée par l'association Vaincre les Maladies Lysosomales (VML … ;ref hasard’don
Excess PCR primers may dramatically affect SSCP efficiency.;Cai1993;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC309934/;1993;60;11;None;http://scholar.google.com/scholar?cites=17239603515453974670&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=17239603515453974670&hl=en&as_sdt=0,5;… 3910 Nucleic Acids Research, 1993, Vol. 21, No. 16 Recherche M&iicale', the University ofMontpellier 1, the 'Association pour la Recherche sur le Cancer', the 'Centre Hospitalier R6gional'of Montpellier and the Association 'Vaincre les Maladies Lysosomales'. REFERENCES … ;?
Douleur et maladie lysosomale: un livret pour mieux la traiter;ROCCHISANI2018305;https://www.sciencedirect.com/science/article/pii/S1636652218301375;2018;0;0;None;None;None;… Dès novembre 2011, des discussions ont eu lieu au sein de la commission « familles » del'association vaincre les maladies lysosomales (VML) pour travailler sur un projet sur la douleurchronique et la qualité de vie réunissant médecins exerçant dans les domaines de la … ;desc asso
Incidence and natural history of mucopolysaccharidosis type III in France and comparison with United Kingdom and Greece;heron2011incidence;https://onlinelibrary.wiley.com/doi/abs/10.1002/ajmg.a.33779;2011;111;10;None;http://scholar.google.com/scholar?cites=3707032926492831332&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=3707032926492831332&hl=en&as_sdt=0,5;… as being of major importance to assess disease incidence and natural variations, the list ofdiagnosed patients provided by diagnostic laboratories centers was compared to informationprovided by two family associations (Vaincre les Maladies Lysosomales and Alliance … ;ref asso
Intracerebral gene therapy in children with mucopolysaccharidosis type IIIB syndrome: an uncontrolled phase 1/2 clinical trial;a021b2696435475a9304b05973f637ef;https://www.sciencedirect.com/science/article/pii/S1474442217301692;2017;53;8;None;http://scholar.google.com/scholar?cites=16981198961045283439&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=16981198961045283439&hl=en&as_sdt=0,5;… Longer follow-up is needed to further assess safety outcomes and persistence of improvedcognitive development. Funding. Association Française Contre les Myopathies, Vaincreles Maladies Lysosomales, Institut Pasteur, and UniQure … ;bourse
Genetic heterogeneity in Niemann-Pick C disease: a study using somatic cell hybridization and linkage analysis.;vanier1996genetic;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1914948/;1996;217;8;None;http://scholar.google.com/scholar?cites=7125350895926487423&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=7125350895926487423&hl=en&as_sdt=0,5;Page 1. Am. J. Hum. Genet. 58:118-125, 1996 Genetic Heterogeneity in Niemann-Pick CDisease: A Study Using Somatic Cell Hybridization and Linkage Analysis MT Vanier,'2 S.Duthel72 C. Rodriguez-Lafrasse,1 P. Pentchevj and ED Carstea3 … ;?
Making diagnosis of Pompe disease at a presymptomatic stage: to treat or not to treat?;Laloui594;https://n.neurology.org/content/77/6/594.short;2011;32;7;None;http://scholar.google.com/scholar?cites=3611820311312983877&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=3611820311312983877&hl=en&as_sdt=0,5;"Skip to main content. Advertisement. Neurology.org; Journals: Neurology; ClinicalPractice; Genetics; Neuroimmunology & Neuroinflammation. Collections: Subjects AZ;Residents & Fellows; Patient Pages; Translations. Podcast; CME … ";?
Méthodes objectives issues du traitement automatique de la parole pour la recherche de zones “déviantes” dans la parole dysarthrique;clementmethodes;http://majecstic2009.univ-avignon.fr/Actes_MajecSTIC_RJCP/RJCP/articles/282.pdf;None;0;0;http://majecstic2009.univ-avignon.fr/Actes_MajecSTIC_RJCP/RJCP/articles/282.pdf;None;None;… SLA. 6. REMERCIEMENTS Cette étude a reçu le soutient de l'association “Vaincreles Maladies Lysosomales (VML)” (soutient financier) et de l'hôpital de laPitié-Salpétrière (partage des enreg- istrements). RÉFÉRENCES [Auz06 … ;bourse
Besoins et attentes des patients atteints de la maladie de Fabry vis-à-vis de leur traitement en France: développement d'un Questionnaire des Attentes des …;lidove2019besoins;https://snfmi2019.fr/wp-content/uploads/2019/06/07062019/3-communications-orales-9/LIDOVE.pdf;2019;0;3;http://scholar.google.com/https://snfmi2019.fr/wp-content/uploads/2019/06/07062019/3-communications-orales-9/LIDOVE.pdf;None;http://scholar.google.com/scholar?cluster=11154084085752148620&hl=en&as_sdt=0,5;… 5 Pédiatrie, CHRU de Lyon, Lyon 6 Néphrologie, hôpital Tenon, Paris 7 Vaincre lesmaladies lysosomales, VML, Massy 8 Biochimie métabolique, CHU de Rouen, Rouen9 Cardiologie, Hôpital Européen Georges-Pompidou AP–HP, Paris … ;ref asso
Niemann‐Pick type C disease: Subcellular location and functional characterization of NPC2 proteins with naturally occurring missense mutations;chikh2005niemann;https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.20173;2005;29;7;None;http://scholar.google.com/scholar?cites=15850536627886453131&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=15850536627886453131&hl=en&as_sdt=0,5;"… E-mail: millat@lyon.inserm.fr Grant sponsors: Vaincre les Maladies Lysosomales (VML); InstitutNational de la SanteŁ et de la Recherche MeŁ dicale (INSERM). DOI 10.1002/humu.20173Published online in Wiley InterScience (www.interscience.wiley.com) … ";bourse
Mutation analysis in 11 French patients with Fabry disease;guffon1998mutation;https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.1380110190;1998;24;4;None;http://scholar.google.com/scholar?cites=1432365144331303488&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=1432365144331303488&hl=en&as_sdt=0,5;… Correspondence to: Dr. Irene Maire, Centre d'etude des mala- dies me taboliques, HBpitalDebrousse, 29 rue soeur Bouvier, 69322 Lyon cedex 05, France. Contract grant sponsor: VML(Vaincre les Maladies Lysosomales). 0 1997 WILEY-LISS, INC. Page 2. TABLE … ;bourse
Correlation between mannose-6-phosphate/IGFII receptor and cathepsin D RNA levels by in situ hybridization in benign and malignant mammary tumors;zhao1993correlation;https://cancerres.aacrjournals.org/content/53/12/2901.short;1993;26;8;None;http://scholar.google.com/scholar?cites=1985927507238098455&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=1985927507238098455&hl=en&as_sdt=0,5;"… ' This work was supported by the ""Institut National de la SantÃ©et de la RechercheMÃ©dicale.""the Faculty of Medicine of Montpellier, the ""Association pour la Recherche sur leCancer."" the association ""Vaincre les Maladies Lysosomales."" and the ""Caisse Nationale d … ";bourse
Synthèse d'aminocyclitols, inhibiteurs potentiels de glycosidases lysosomales, via des aldolases;camps2010synthese;https://tel.archives-ouvertes.fr/tel-00629666/;2010;0;9;None;None;http://scholar.google.com/scholar?cluster=4694512383258961198&hl=en&as_sdt=0,5;Page 1. HAL Id: tel-00629666 https://tel.archives-ouvertes.fr/tel-00629666 Submitted on 6Oct 2011 HAL is a multi-disciplinary open access archive for the deposit and disseminationof sci- entific research documents, whether they are pub- lished or not … ;?
Non-invasive evaluation of arterial involvement in patients affected with Fabry disease;boutouyrie2001non;https://jmg.bmj.com/content/38/9/629.short;2001;42;12;None;http://scholar.google.com/scholar?cites=9979713319159279787&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=9979713319159279787&hl=en&as_sdt=0,5;… during follow up studies. Acknowledgments. This study received financial supportfrom the Institut National de la Santé et de la Recherche Médicale (INSERM) andfrom Vaincre les Maladies Lysosomales (VML). References … ;bourse
Synthesis and biological evaluation of the first example of an eight-membered iminoalditol;godin2004synthesis;https://www.sciencedirect.com/science/article/pii/S0040403903026844;2004;41;6;None;http://scholar.google.com/scholar?cites=10396518253520509014&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=10396518253520509014&hl=en&as_sdt=0,5;… Acknowledgements. Financial support of this study by grants from CNRS and the association'Vaincre les Maladies Lysosomales' is gratefully acknowledged. GG thanks the council of R é gion Centre and the CNRS for a fellowship. Recommended articles Citing articles (0) … ;bourse
Do nonhuman primate or bat adenoviruses pose a risk for human health?;benkHo2014nonhuman;https://www.futuremedicine.com/doi/abs/10.2217/fmb.13.170;2014;12;6;None;http://scholar.google.com/scholar?cites=6027410433104829294&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=6027410433104829294&hl=en&as_sdt=0,5;"… This work was also supported by the Region Languedoc Roussillon, the Fondation de France,Vaincre les Maladies Lysosomales, Agence National de la Recherche and the AssociationFrançaise contre les Myopathies to EJ Kremer; and grant OTKA NN107632 provided by … ";bourse
Lysosomal Dynamics Induced by Poly-D-Glutamic Acid in Kidney Proximal Tubular Cells;kishore1996lysosomal;https://www.researchgate.net/profile/Bellamkonda_Kishore/publication/14532890_Mechanism_of_the_thesaurismosis_and_altered_lysosomal_dynamics_induced_by_poly-_D-glutamic_acid_in_kidney_proximal_tubular_cells/links/58c36dc845851538eb80a4cb/Mechanism-of-the-thesaurismosis-and-altered-lysosomal-dynamics-induced-by-poly-D-glutamic-acid-in-kidney-proximal-tubular-cells.pdf;1996;14;8;http://scholar.google.com/https://www.researchgate.net/profile/Bellamkonda_Kishore/publication/14532890_Mechanism_of_the_thesaurismosis_and_altered_lysosomal_dynamics_induced_by_poly-_D-glutamic_acid_in_kidney_proximal_tubular_cells/links/58c36dc845851538eb80a4cb/Mechanism-of-the-thesaurismosis-and-altered-lysosomal-dynamics-induced-by-poly-D-glutamic-acid-in-kidney-proximal-tubular-cells.pdf;http://scholar.google.com/scholar?cites=4267991641443133557&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=4267991641443133557&hl=en&as_sdt=0,5;"… This study was supported by the French asociation Vaincre les Maladies Lysosomales,Ozoir-la-Ferrière, France (grant to BBK), the Belgian Fond de la Recherche Scientifique Médicale(Grants 3.455388 to PM7"" and I. 523792 to BBK), the Belgian Fonds National de la … ";bourse
Transplantation of fetal liver cells corrects accumulation of lipids in tissues and prevents fatal neuropathy in cholesterol-storage disease BALB/c mice;veyron1996transplantation;https://journals.lww.com/transplantjournal/fulltext/1996/10270/transplantation_of_fetal_liver_cells_corrects.1.aspx;1996;9;7;None;http://scholar.google.com/scholar?cites=11294561514228558268&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=11294561514228558268&hl=en&as_sdt=0,5;The cholesterol storage disease (CSD) BALB/c mouse representsa model of the Niemann-Pick type C (NP.;?
An endocytic CARriage tale: Adenoviruses internalization and trafficking in neurons;henaff2010endocytic;https://www.tandfonline.com/doi/abs/10.4161/viru.1.3.11379;2010;9;6;None;http://scholar.google.com/scholar?cites=6046672299790683704&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=6046672299790683704&hl=en&as_sdt=0,5;"… Acknowledgements We thank E. Kremer and G. Schiavo for support; Association Française contreles Myopathies, Vaincre les Maladies Lysosomales, EC-FP7 (BrainCAV), Cancer Research UKand the Motor Neurone Disease Association for funding. SS is an Inserm fellow … ";bourse
Du rythme dans le foie en régénération;teboul2004rythme;https://www.erudit.org/en/journals/ms/1900-v1-n1-ms705/007670ar/abstract/;2004;3;7;None;http://scholar.google.com/scholar?cites=14915018145377048331&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=14915018145377048331&hl=en&as_sdt=0,5;… Munc13-4 is essential for cytolytic granule fusion REMERCIEMENTS Nous tenons à remercierl'Inserm, l'Association Française contre le Cancer, La Fondation pour la recherche Médicale etVaincre les Maladies Lysosomales qui soutiennent généreusement nos travaux … ;bourse
2-Naphthylmethyl (NAP) as a versatile amino protecting group, chemoselective removal under mild conditions;godin20032;https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2003-41465;2003;10;3;None;http://scholar.google.com/scholar?cites=11075515265841151820&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=11075515265841151820&hl=en&as_sdt=0,5;… Acknowledgment. Financial support of this study by grants from CNRS and the association 'Vaincreles Maladies Lysosomales' is gratefully acknowledged. GG thanks the council of Région Centreand the CNRS for a fellowship. References. 1 Greene TW. Wuts PGM … ;bourse
Prevalence of autoantibodies in the course of Gaucher disease type 1: A multicenter study comparing Gaucher disease patients to healthy subjects;serratrice2018prevalence;https://www.sciencedirect.com/science/article/pii/S1297319X16302391;2018;4;6;None;http://scholar.google.com/scholar?cites=4193461014685974048&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=4193461014685974048&hl=en&as_sdt=0,5;… Cary, NC). 2.6. Role of the funding source. The funding of the study was supportedby the patients' association “Vaincre les Maladies Lysosomales” helping families andpatients affected by lysosomal storage disorders. The funder … ;bourse
Mucolipidosis III gamma;raas2012mucolipidosis;https://www.ncbi.nlm.nih.gov/books/NBK24701/;2012;9;3;None;http://scholar.google.com/scholar?cites=8506814454720264303&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=8506814454720264303&hl=en&as_sdt=0,5;… GeneReviews is not responsible for the information provided by other organizations. Forinformation on selection criteria, click here. National Library of Medicine Genetics Home Reference.Mucolipidosis III gamma. Vaincre les Maladies Lysosomales. 2 Ter Avenue De France … ;ref asso + ?
L'adénovirus canin: meilleur ami de l'homme?;keriel2003adenovirus;https://www.medecinesciences.org/en/articles/medsci/full_html/2003/09/medsci20031911p1048/medsci20031911p1048.html;2003;3;7;None;http://scholar.google.com/scholar?cites=14339716535154531529&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=14339716535154531529&hl=en&as_sdt=0,5;… chaleureusement Vaincre La Mucoviscidose, l'Association Française contre les Myopathies,la Fondation pour la Recherche Médicale, l'Association pour la Recherche sur le Cancer, la LigueNationale contre le Cancer et Vaincre les Maladies Lysosomales qui soutiennent … ;bourse
New mutation (S298P) in a patient with glycogen storage disease type IA;stroppiano1998new;https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.13801101109;1998;4;2;None;http://scholar.google.com/scholar?cites=191711207649297496&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=191711207649297496&hl=en&as_sdt=0,5;… Bugnard, Bit. L3, CHU Rangueil, 1 Avenue Jean Poulhes, F-31403 Toulouse CCdex4, France. Contract grant sponsor: INSERM (CJF 9206) and the association “Vaincreles Maladies Lysosomales.” Deleterious mutations in … ;bourse
Impact of imiglucerase supply constraint on the therapeutic management and course of disease in French patients with Gaucher disease type 1;stirnemann2015impact;https://ojrd.biomedcentral.com/articles/10.1186/s13023-015-0275-0;2015;5;16;None;http://scholar.google.com/scholar?cites=6726066966312876438&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=6726066966312876438&hl=en&as_sdt=0,5;… et des produits de santé (Afssaps), currently L'Agence nationale de sécurité du médicament etdes produits de santé (ANSM)], representatives of pharmaceutical companies, and representativesof patient associations (the Vaincre les Maladies Lysosomales [VML], and French … ;ref asso
Guidelines for reporting secondary findings of genome sequencing in cancer genes: the SFMPP recommendations;pujol2018guidelines;https://www.nature.com/articles/s41431-018-0224-1;2018;9;8;None;http://scholar.google.com/scholar?cites=12641537197495691905&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=12641537197495691905&hl=en&as_sdt=0,5;In oncology, the expanding use of multi-gene panels to explore familial cancer predispositionand tumor genome analysis has led to increased secondary findings discoveries (SFs) and hasgiven rise to important medical, ethical, and legal issues. The American College of Medical … ;?
Les canaux TRP (transient receptor potential)-Une nouvelle famille de canaux à expression variée;vassort2008canaux;https://www.medecinesciences.org/en/articles/medsci/full_html/2008/03/medsci2008242p163/medsci2008242p163.html;2008;16;5;None;http://scholar.google.com/scholar?cites=7252417844559615628&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=7252417844559615628&hl=en&as_sdt=0,5;… Il s'agit d'une affection très rare, principalement présente dans la population askhénaze, au seinde laquelle la fréquence des hétérozygotes est de 1/100 et l'incidence de la maladie de 1 pour40 000 (site internet Vaincre les maladies lysosomales). Références … ;ref site asso
Guanine nucleotide exchange on heterotrimeric Gi3 protein controls autophagic sequestration in HT-29 cells;ogier1996guanine;http://www.jbc.org/content/271/45/28593.short;1996;120;4;None;http://scholar.google.com/scholar?cites=14303606502671775693&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=14303606502671775693&hl=en&as_sdt=0,5;Advertisement. Advertisement: Do's and don'ts of data presentation. TheJournal of Biological Chemistry Sign In » Search by Keyword Author YearVol Page Advanced Search ». Skip to main page content … ;?
Recommendations on the diagnosis and management of Niemann-Pick disease type C;wraith2009recommendations;https://www.sciencedirect.com/science/article/pii/S1096719209001681;2009;231;18;None;http://scholar.google.com/scholar?cites=16479000423943584677&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=16479000423943584677&hl=en&as_sdt=0,5;JavaScript is disabled on your browser. Please enable JavaScript to use allthe features on this page. Skip to main content Skip to article … ;?
Les associations de malades et la recherche: II. Les formes d'engagement des associations de malades dans la recherche en France.;rabeharisoa2000associations;http://www.ipubli.inserm.fr/handle/10608/1558;2000;8;2;None;http://scholar.google.com/scholar?cites=17569762722694810276&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=17569762722694810276&hl=en&as_sdt=0,5;"Page 1. médecine/sciences 2000 ; 16 : 1225-31 Les associations de malades etla recherche II. Les formes d'engagement des associations de malades dans larecherche en France* ▶ Les associations de malades jouent un … ";ref asso
Atelier A2–Mise en place des filières maladies rares: quelles sont les clés de la réussite?;desnuelleatelier;https://www.medecinesciences.org/en/articles/medsci/pdf/2016/04/medsci2016321sp34.pdf;None;0;2;http://scholar.google.com/https://www.medecinesciences.org/en/articles/medsci/pdf/2016/04/medsci2016321sp34.pdf;None;http://scholar.google.com/scholar?cluster=6103390618526631077&hl=en&as_sdt=0,5;… malade ? Anne-Sophie Lapointe, Vaincre les Maladies Lysosomales, filièreAnDDI-Rares Cet atelier présentait une grande complémentarité entre MaladiesRares Info Services, la filière AnDDI-Rares et le laboratoire Shire … ;ref asso
Niemann-Pick C1 disease: the I1061T substitution is a frequent mutant allele in patients of Western European descent and correlates with a classic juvenile …;millat1999niemann;https://www.sciencedirect.com/science/article/pii/S0002929707621387;1999;173;14;None;http://scholar.google.com/scholar?cites=15229515638436229991&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=15229515638436229991&hl=en&as_sdt=0,5;… This research was supported by grants from Vaincre les Maladies Lysosomales, INSERM U189,and the Japanese Ministries of Education, Science, Culture, and Health and Welfare and by anINSERM/Japanese Society for the Promotion of Science cooperation program … ;bourse
